,time,flow_name,event,seconds_elapsed,cumulative_seconds
0,2025-03-03 15:02:41.598428,,"SIMULATION STARTED: VERSION: 0.0.15, RELEASE DATEL 2023-02-16",0.0,0.0
1,2025-03-03 15:02:41.603048,,"3.12.8 | packaged by conda-forge | (main, Dec  5 2024, 14:25:12) [Clang 18.1.8 ]",0.0089,0.0089
2,2025-03-03 15:02:41.604717,,"Dependencies: Geopandas:1.0.1, Shapely:2.0.7, Pandas:2.2.2, Numpy:2.2.2, NetworkX:3.4.2",0.0016690000000000003,0.010569
3,2025-03-03 15:02:42.749706,Schools_to_Train,"network FIle Loaded, Projection: EPSG:6491",1.144989,1.155558
4,2025-03-03 15:02:44.859192,Schools_to_Train,network topology created,2.109486,3.265044
5,2025-03-03 15:02:44.875048,Schools_to_Train,"schools file schools.geojson Loaded, Projection: EPSG:6491",0.01585599999999987,3.2809
6,2025-03-03 15:02:44.879829,Schools_to_Train,"Subway file transp_subway.geojson Loaded, Projection: EPSG:6491",0.004780999999999924,3.285681
7,2025-03-03 15:02:44.901640,Schools_to_Train,Origins and Destinations Inserted.,0.021811000000000025,3.307492
8,2025-03-03 15:02:45.235484,Schools_to_Train,NetworkX Graphs Created.,0.33384400000000003,3.641336
9,2025-03-03 15:02:48.040790,Schools_to_Train,accissibility calculated.,2.805306,6.446642
10,2025-03-03 15:02:48.055767,Schools_to_Bus,"Bus file transp_bus.geojson Loaded, Projection: EPSG:6491",0.014977000000000018,6.461619
11,2025-03-03 15:02:48.078913,Schools_to_Bus,Origins and Destinations Inserted.,0.023146000000000555,6.484765
12,2025-03-03 15:02:48.387667,Schools_to_Bus,NetworkX Graphs Created.,0.30875399999999953,6.793519
13,2025-03-03 15:02:51.005820,Schools_to_Bus,accissibility calculated.,2.6181529999999995,9.411672
14,2025-03-03 15:02:51.016646,Schools_to_Bluebike,"Bluebike file transp_bluebike.geojson Loaded, Projection: EPSG:6491",0.01082599999999978,9.422498
15,2025-03-03 15:02:51.036969,Schools_to_Bluebike,Origins and Destinations Inserted.,0.0203230000000012,9.442821
16,2025-03-03 15:02:51.330128,Schools_to_Bluebike,NetworkX Graphs Created.,0.2931589999999993,9.73598
17,2025-03-03 15:02:53.870803,Schools_to_Bluebike,accissibility calculated.,2.5406750000000002,12.276655
